Size,AVG(avg_salary)
10000,124122.95081967214
501 - 1000,119059.70149253732
51 - 200,127061.94690265489
201 - 500,117347.82608695651
1001 - 5000,122845.2380952381
5001 - 10000,129591.83673469388
1,130208.33333333334
1 - 50,120460.31746031743
Unknown,136178.57142857142
